track_id,zone,error_type
119628080,matagalls,5
119628793,matagalls,3
119630158,matagalls,1
119635357,matagalls,1
119661622,matagalls,2
119692682,matagalls,5
119718621,matagalls,5
119739651,matagalls,5
119776601,matagalls,5
119783698,matagalls,1
119783849,matagalls,1
119801341,matagalls,1
119840226,matagalls,1
119849075,matagalls,3
119894999,matagalls,5
119896409,matagalls,1
119913315,matagalls,1
119952801,matagalls,5
119959491,matagalls,5
119963093,matagalls,3
119977475,matagalls,5
119987869,matagalls,1
119999641,matagalls,1
120004986,matagalls,5
120005379,matagalls,5
120010254,matagalls,5
120015604,matagalls,5
120018333,matagalls,5
120022548,matagalls,5
120026953,matagalls,1
120029218,matagalls,1
120063775,matagalls,5
120071738,matagalls,5
120072233,matagalls,5
120080463,matagalls,5
120092478,matagalls,5
120094515,matagalls,3
120096276,matagalls,1
120104341,matagalls,5
120112115,matagalls,5
120112529,matagalls,5
120119159,matagalls,2
120128106,matagalls,5
120128200,matagalls,1
120132258,matagalls,5
120136747,matagalls,5
120138727,matagalls,1
120154437,matagalls,1
120160144,matagalls,5
120162588,matagalls,5
120230987,matagalls,2
120288801,matagalls,1
120288948,matagalls,1
120289205,matagalls,5
120289728,matagalls,5
120346299,matagalls,3
120362904,matagalls,1
120363262,matagalls,1
120467104,matagalls,5
120470153,matagalls,3
120470255,matagalls,5
120493334,matagalls,5
120497403,matagalls,5
120532975,matagalls,5
120551907,matagalls,5
120559164,matagalls,5
120564115,matagalls,5
120569407,matagalls,5
120580228,matagalls,5
120582377,matagalls,5
120584632,matagalls,2
120584797,matagalls,1
120652517,matagalls,1
120654990,matagalls,5
120656574,matagalls,3
120657174,matagalls,3
120660858,matagalls,1
120670096,matagalls,1
120707032,matagalls,1
120708705,matagalls,1
120709335,matagalls,1
120709426,matagalls,5
120719320,matagalls,1
120722710,matagalls,3
120724166,matagalls,5
120725429,matagalls,5
120725804,matagalls,2
120732278,matagalls,5
120740162,matagalls,1
120742877,matagalls,1
120744998,matagalls,5
120745252,matagalls,5
120749971,matagalls,3
120755125,matagalls,3
120760211,matagalls,1
120765616,matagalls,3
120788986,matagalls,5
120789040,matagalls,5
120789184,matagalls,3
120808606,matagalls,5
120811291,matagalls,5
120861284,matagalls,5
120866495,matagalls,1
120871711,matagalls,5
120885520,matagalls,1
120888663,matagalls,5
120894409,matagalls,5
120910227,matagalls,1
120914944,matagalls,5
120930614,matagalls,3
120973899,matagalls,5
120990972,matagalls,5
120996834,matagalls,5
120996946,matagalls,3
